~	〜
cf	べん
pf	ちぇん
vf	でん
if	ふぇん
af	げん
sf	へん
df	けん
wf	めん
ef	ねん
qf	ぺん
rf	れん
ff	せん
gf	てん
xf	うぇん
tf	いぇん
zf	ぜん
zbf	じぇん
fbf	しぇん
og	えい
cg	べい
pg	ちぇい
vg	でい
ig	ふぇい
ag	げい
sg	へい
dg	けい
wg	めい
eg	ねい
qg	ぺい
rg	れい
fg	せい
gg	てい
xg	うぇい
zg	ぜい
h	あ
oh	あ
ch	ば
ph	つぁ
vh	だ
ih	ふぁ
ah	が
abh	ぐぁ
sh	は
sbh	ふぁ
dh	か
dbh	くぁ
bh	ぁ
bxh	ゎ
bth	ゃ
bdh	ヵ
wh	ま
eh	な
qh	ぱ
rh	ら
fh	さ
gh	た
gbh	つぁ
yh	ゔぁ
xh	わ
th	や
zh	ざ
j	う
oj	う
cj	ぶ
pj	とぅ
vj	づ
vbj	どぅ
ij	ふ
aj	ぐ
sj	ふ
dj	く
bj	ぅ
btj	ゅ
wj	む
ej	ぬ
qj	ぷ
rj	る
fj	す
gj	つ
gbj	とぅ
yj	ゔ
tj	ゆ
zj	ず
k	い
ok	い
ck	び
pk	てぃ
vk	ぢ
vbk	でぃ
ik	ふぃ
ak	ぎ
sk	ひ
sbk	ふぃ
dk	き
dbk	くぃ
bk	ぃ
wk	み
ek	に
qk	ぴ
rk	り
fk	し
gk	ち
gbk	つぃ
yk	ゔぃ
xk	うぃ
xbk	ゐ
zk	じ
l	お
ol	お
cl	ぼ
pl	つぉ
vl	ど
il	ふぉ
al	ご
sl	ほ
sbl	ふぉ
dl	こ
dbl	くぉ
bl	ぉ
btl	ょ
wl	も
el	の
ql	ぽ
rl	ろ
fl	そ
gl	と
gbl	つぉ
yl	ゔぉ
xl	を
xbl	うぉ
tl	よ
zl	ぞ
;	え
o;	え
c;	べ
p;	ちぇ
v;	で
i;	ふぇ
a;	げ
s;	へ
sb;	ふぇ
d;	け
db;	くぇ
b;	ぇ
bd;	ヶ
w;	め
e;	ね
q;	ぺ
r;	れ
f;	せ
fb;	しぇ
g;	て
gb;	つぇ
y;	ゔぇ
x;	うぇ
xb;	ゑ
t;	いぇ
z;	ぜ
zb;	じぇ
oz	いく
az	ぎく
dz	きく
ez	にく
rz	りく
gz	ちく
zz	じく
cx	ぶう
ax	ぐう
sx	ふう
dx	くう
wx	むう
ex	ぬう
qx	ぷう
rx	るう
fx	すう
gx	つう
tx	ゆう
zx	ずう
oc	やく
cc	びゃく
ac	ぎゃく
sc	ひゃく
dc	きゃく
wc	みゃく
ec	にゃく
qc	ぴゃく
rc	りゃく
fc	しゃく
gc	ちゃく
zc	じゃく
ov	や
cv	びゃ
av	ぎゃ
sv	ひゃ
dv	きゃ
bv	ゃ
wv	みゃ
ev	にゃ
qv	ぴゃ
rv	りゃ
fv	しゃ
gv	ちゃ
zv	じゃ
on	ゆう
cn	びゅう
an	ぎゅう
sn	ひゅう
dn	きゅう
wn	みゅう
en	にゅう
qn	ぴゅう
rn	りゅう
fn	しゅう
gn	ちゅう
zn	じゅう
om	あん
