~	〜
.	。
,	、
bbh	←
bbj	↓
bbk	↑
bbl	→
bb;	；
bb:	：
b:	：
bb.	…
b.	…
bb,	‥
b,	‥
bb[	『
b[	『
bb]	』
b]	』
bb<	《
b<	《
bb>	》
b>	》
bb'	‘
b'	’
bb"	“
b"	”
bbq	♪
bq	♪
u	ー
m	ん
n	っ
o1	やん
c1	びゃん
a1	ぎゃん
s1	ひゃん
d1	きゃん
w1	みゃん
e1	にゃん
q1	ぴゃん
r1	りゃん
f1	しゃん
g1	ちゃん
z1	じゃん
o2	よん
c2	びょん
a2	ぎょん
s2	ひょん
d2	きょん
w2	みょん
e2	にょん
q2	ぴょん
r2	りょん
f2	しょん
g2	ちょん
z2	じょん
o3	いち
c3	ばち
v3	だち
s3	はち
d3	きち
e3	にち
q3	ぱち
r3	らち
f3	しち
g3	たち
z3	じち
o4	いく
a4	ぎく
d4	きく
e4	にく
r4	りく
g4	ちく
z4	じく
o5	いき
c5	びき
s5	ひき
q5	ぴき
r5	りき
f5	しき
z5	じき
o6	やっ
c6	びゃっ
a6	ぎゃっ
s6	ひゃっ
d6	きゃっ
w6	みゃっ
e6	にゃっ
q6	ぴゃっ
r6	りゃっ
f6	しゃっ
g6	ちゃっ
z6	じゃっ
o^	やー
c^	びゃー
a^	ぎゃー
s^	ひゃー
d^	きゃー
w^	みゃー
e^	にゃー
q^	ぴゃー
r^	りゃー
f^	しゃー
g^	ちゃー
z^	じゃー
o7	ゆっ
c7	びゅっ
p7	つゅっ
gb7	てゅっ
'7	てゅっ
v7	でゅっ
i7	ふゅっ
a7	ぎゅっ
s7	ひゅっ
d7	きゅっ
w7	みゅっ
e7	にゅっ
q7	ぴゅっ
r7	りゅっ
f7	しゅっ
g7	ちゅっ
z7	じゅっ
o&	ゆー
c&	びゅー
p&	つゅー
gb&	てゅー
'&	てゅー
v&	でゅー
i&	ふゅー
a&	ぎゅー
s&	ひゅー
d&	きゅー
w&	みゅー
e&	にゅー
q&	ぴゅー
r&	りゅー
f&	しゅー
g&	ちゅー
z&	じゅー
o8	よっ
c8	びょっ
a8	ぎょっ
s8	ひょっ
d8	きょっ
w8	みょっ
e8	にょっ
q8	ぴょっ
r8	りょっ
f8	しょっ
g8	ちょっ
z8	じょっ
o*	よー
c*	びょー
a*	ぎょー
s*	ひょー
d*	きょー
w*	みょー
e*	にょー
q*	ぴょー
r*	りょー
f*	しょー
g*	ちょー
z*	じょー
oq	いつ
cq	びつ
sq	ひつ
dq	きつ
wq	みつ
qq	ぴつ
rq	りつ
fq	しつ
gq	ちつ
zq	じつ
ow	あつ
cw	ばつ
vw	だつ
aw	がつ
sw	はつ
dw	かつ
ww	まつ
ew	なつ
qw	ぱつ
rw	らつ
fw	さつ
gw	たつ
zw	ざつ
oe	ゆ
ce	びゅ
pe	つゅ
gbe	てゅ
'e	てゅ
ve	でゅ
ie	ふゅ
ae	ぎゅ
se	ひゅ
de	きゅ
be	ゅ
we	みゅ
ee	にゅ
qe	ぴゅ
re	りゅ
fe	しゅ
ge	ちゅ
ye	ゔゅ
ze	じゅ
or	よ
cr	びょ
ar	ぎょ
sr	ひょ
dr	きょ
br	ょ
wr	みょ
er	にょ
