~	〜
Ks	こん
Ms	もん
Ns	のん
Ps	ぽん
Rs	ろん
Ss	そん
Ts	とん
Ws	うぉん
Ys	よん
Zs	ぞん
Ad	あく
Bd	ばく
Dd	だく
Gd	がく
Hd	はく
Kd	かく
Md	まく
Nd	なく
Pd	ぱく
Rd	らく
Sd	さく
Td	たく
Wd	わく
Yd	やく
Zd	ざく
Af	えん
Bf	べん
Cf	ちぇん
Df	でん
Ff	ふぇん
Gf	げん
Hf	へん
Kf	けん
Mf	めん
Nf	ねん
Pf	ぺん
Rf	れん
Sf	せん
Tf	てん
Wf	うぇん
Yf	いぇん
Zf	ぜん
ZLf	じぇん
SLf	しぇん
Ag	えい
Bg	べい
Cg	ちぇい
Dg	でい
Fg	ふぇい
Gg	げい
Hg	へい
Kg	けい
Mg	めい
Ng	ねい
Pg	ぺい
Rg	れい
Sg	せい
Tg	てい
Wg	うぇい
Zg	ぜい
h	あ
Ah	あ
Bh	ば
Ch	つぁ
Dh	だ
Fh	ふぁ
Gh	が
GLh	ぐぁ
Hh	は
HLh	ふぁ
Kh	か
KLh	くぁ
Lh	ぁ
LWh	ゎ
LYh	ゃ
LKh	ヵ
Mh	ま
Nh	な
Ph	ぱ
Rh	ら
Sh	さ
Th	た
TLh	つぁ
Vh	ゔぁ
Wh	わ
Yh	や
Zh	ざ
j	う
Aj	う
Bj	ぶ
Cj	とぅ
Dj	づ
DLj	どぅ
Fj	ふ
Gj	ぐ
Hj	ふ
Kj	く
Lj	ぅ
LYj	ゅ
Mj	む
Nj	ぬ
Pj	ぷ
Rj	る
Sj	す
Tj	つ
TLj	とぅ
Vj	ゔ
Yj	ゆ
Zj	ず
k	い
Ak	い
Bk	び
Ck	てぃ
Dk	ぢ
DLk	でぃ
Fk	ふぃ
Gk	ぎ
Hk	ひ
HLk	ふぃ
Kk	き
KLk	くぃ
Lk	ぃ
Mk	み
Nk	に
Pk	ぴ
Rk	り
Sk	し
Tk	ち
TLk	つぃ
Vk	ゔぃ
Wk	うぃ
WLk	ゐ
Zk	じ
l	お
Al	お
Bl	ぼ
Cl	つぉ
Dl	ど
Fl	ふぉ
Gl	ご
Hl	ほ
HLl	ふぉ
Kl	こ
KLl	くぉ
Ll	ぉ
LYl	ょ
Ml	も
Nl	の
Pl	ぽ
Rl	ろ
Sl	そ
Tl	と
TLl	つぉ
Vl	ゔぉ
Wl	を
WLl	うぉ
Yl	よ
Zl	ぞ
;	え
A;	え
B;	べ
C;	ちぇ
D;	で
F;	ふぇ
G;	げ
H;	へ
HL;	ふぇ
K;	け
KL;	くぇ
L;	ぇ
LK;	ヶ
M;	め
N;	ね
P;	ぺ
R;	れ
S;	せ
SL;	しぇ
T;	て
TL;	つぇ
V;	ゔぇ
W;	うぇ
WL;	ゑ
Y;	いぇ
Z;	ぜ
ZL;	じぇ
Az	いく
Gz	ぎく
Kz	きく
Nz	にく
Rz	りく
Tz	ちく
Zz	じく
Bx	ぶう
Gx	ぐう
Hx	ふう
Kx	くう
Mx	むう
Nx	ぬう
Px	ぷう
Rx	るう
Sx	すう
Tx	つう
Yx	ゆう
Zx	ずう
Ac	やく
Bc	びゃく
Gc	ぎゃく
Hc	ひゃく
Kc	きゃく
Mc	みゃく
Nc	にゃく
Pc	ぴゃく
Rc	りゃく
Sc	しゃく
Tc	ちゃく
Zc	じゃく
Av	や
Bv	びゃ
Gv	ぎゃ
Hv	ひゃ
Kv	きゃ
Lv	ゃ
Mv	みゃ
Nv	にゃ
Pv	ぴゃ
Rv	りゃ
Sv	しゃ
Tv	ちゃ
Zv	じゃ
An	ゆう
Bn	びゅう
Gn	ぎゅう
Hn	ひゅう
Kn	きゅう
Mn	みゅう
Nn	にゅう
Pn	ぴゅう
Rn	りゅう
Sn	しゅう
Tn	ちゅう
Zn	じゅう
Am	あん
Bm	ばん
Cm	つぁん
Dm	だん
Fm	ふぁん
Gm	がん
Hm	はん
Km	かん
Mm	まん
Nm	なん
Pm	ぱん
Rm	らん
Sm	さん
Tm	たん
Wm	わん
Ym	やん
Zm	ざん
A,	おく
B,	ぼく
D,	どく
G,	ごく
H,	ほく
K,	こく
M,	もく
P,	ぽく
R,	ろく
S,	そく
T,	とく
Y,	よく
Z,	ぞく
A.	よく
G.	ぎょく
H.	ひょく
K.	きょく
P.	ぴょく
R.	りょく
S.	しょく
T.	ちょく
Z.	じょく
